name,addr,url,img_src
Eventrockit Food Market- Pasadena at the Paseo,300 east Colorado blvd	Pasadena	 CA 91101,https://www.eventbrite.com/e/eventrockit-food-market-pasadena-at-the-paseo-tickets-26025932264?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F21808484%2F172535087159%2F1%2Foriginal.jpg?rect=0%2C130%2C600%2C300&s=d6937aa57d0985a6b9e1305c9377f2b1
Foodie Con - Los Angeles,1933 S Broadway	Los Angeles	 CA 90007,https://www.eventbrite.com/e/foodie-con-los-angeles-tickets-26120927397?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F23383814%2F179315316845%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=08e01a971d1880117af9778d6f5e8698
Anime Expo 2017 Registration,1201 South Figueroa Street	Los Angeles	 CA 90015,https://www.eventbrite.com/e/anime-expo-2017-registration-registration-19811515777?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F17185319%2F137800823461%2F1%2Foriginal.jpg?rect=212%2C9%2C1668%2C834&s=0766478b5bc6b3186769e627b7709c4a
Women's March on Washington- Los Angeles ,Los Angeles	 CA 90013,https://www.eventbrite.com/e/womens-march-on-washington-los-angeles-tickets-29386869919?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25902609%2F133920115337%2F1%2Foriginal.jpg?rect=0%2C1229%2C2950%2C1475&s=5e4066f83466b9e0621cd112f05697db
Gallifrey One: 28 Years Later (2017),5855 W. Century Boulevard	Los Angeles	 CA 90045,https://www.eventbrite.com/e/gallifrey-one-28-years-later-2017-tickets-20681296314?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F19373457%2F162570695277%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=c647fce7c5c6f14ec10dca85f45cfd82
Eventrockit Food Market- Pasadena Old Town,Pasadena	 CA 91101,https://www.eventbrite.com/e/eventrockit-food-market-pasadena-old-town-tickets-26796310486?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F22822241%2F172535087159%2F1%2Foriginal.jpg?rect=36%2C0%2C1240%2C620&s=f3594ea64f1552f05e6baff8e611e291
 adidas Giant Clearance Sale in Santa Monica	 CA at Barker Hangar!,3021 Airport Avenue	#203	Santa Monica	 CA 90405,https://www.eventbrite.com/e/adidas-giant-clearance-sale-in-santa-monica-ca-at-barker-hangar-tickets-29518748371?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26042962%2F34014739037%2F1%2Foriginal.jpg?rect=0%2C116%2C960%2C480&s=f6068c407e157e84a8558c40142739e2
Kids Ultimate Fitness Challenge - Los Angeles,405 Hilgard Rd	Los Angeles	 CA 90095,https://www.eventbrite.com/e/kids-ultimate-fitness-challenge-los-angeles-tickets-19266381265?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26275956%2F144066268705%2F1%2Foriginal.jpg?rect=0%2C255%2C3088%2C1544&s=4c86748111002a896bb1243f262d9aad
Frozen Winter Wonderland,6400 Westminster Blvd	Westminster	 California 92683,https://www.eventbrite.com/e/frozen-winter-wonderland-tickets-29261302343?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25744806%2F190175469465%2F1%2Foriginal.jpg?rect=0%2C60%2C1920%2C960&s=77e57d8084c536ca2fda3b50294f4c78
ECC SOCAL 2016,285 West Huntington Drive	Arcadia	 CA 91007,https://www.eventbrite.com/e/ecc-socal-2016-tickets-27157297207?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25949864%2F171361196042%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=efeec9f013ceacc313459f0bebb769ba
Crowd Invest Summit West	 Dec. 7-8 2016,1201 S Figueroa St	Los Angeles	 CA 90015,https://www.eventbrite.com/e/crowd-invest-summit-west-dec-7-8-2016-tickets-24302760210?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F24393612%2F171387157509%2F1%2Foriginal.jpg?rect=0%2C34%2C1204%2C602&s=7dc95d9cff1e56ddd26cc366379cbe9f
DTLA Arts Festival 2016,Los Angeles	 CA 90065,https://www.eventbrite.com/e/dtla-arts-festival-2016-tickets-28850955986?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26241644%2F171126803701%2F1%2Foriginal.jpg?rect=0%2C109%2C1880%2C940&s=625d471dbe288927e504d7c76ea23f85
TechFair LA,1933 South Broadway	Los Angeles	 CA 90007,https://www.eventbrite.com/e/techfair-la-tickets-27453426939?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25063369%2F426123127%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=55d713180ff3010e811ca39f4ffa5878
Force Grey: The Lost Episode,6712 Hollywood Boulevard	Los Angeles	 CA 90028,https://www.eventbrite.com/e/force-grey-the-lost-episode-tickets-29384472749?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25980392%2F194380735703%2F1%2Foriginal.jpg?rect=9%2C0%2C2160%2C1080&s=2ce786dffffa561bc43e5b405e81c01e
Minimal Effort: NYE,Los Angeles	 CA 90017,https://www.eventbrite.com/e/minimal-effort-nye-tickets-28541641819?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26286546%2F181816035190%2F1%2Foriginal.jpg?rect=18%2C17%2C2012%2C1006&s=2a386d34dac482044ec270280c8c9fb6
Individual Classes & Series,Beverly Hills	 CA 90210,https://www.eventbrite.com/e/individual-classes-series-tickets-4811688891?aff=ebapi,https://cdn.evbuc.com/images/1969195/25211631639/1/original.png
PCC Fall 2016 Scholarship Ceremony and Reception,1570 E. Colorado Boulevard	Pasadena	 CA 91106,https://www.eventbrite.com/e/pcc-fall-2016-scholarship-ceremony-and-reception-tickets-28847909875?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25436592%2F27401677393%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=fe7c150e5b448b272db87fa052adf701
2017 SUPER BOWL PARTY CRUISE to Ensenada,231 Windsor Way	Port of Los Angeles	 "Inspiration" Cruise Terminal	Long Beach	 CA 90802,https://www.eventbrite.com/e/2017-super-bowl-party-cruise-to-ensenada-tickets-18748523338?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F18512887%2F17823099435%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=5f5041b73f9fcabe36633cbca9958d90
Handel - Messiah,464 East Walnut Street	Pasadena	 CA 91101,https://www.eventbrite.com/e/handel-messiah-tickets-29032442818?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25543473%2F8803458841%2F1%2Foriginal.jpg?rect=0%2C0%2C1500%2C750&s=902ce6ecc25414130ee1d51c483c09b4
Beach Winter Wonderland - FREE EVENT!,12505 Vista Del Mar	Playa del Rey	 CA 90293,https://www.eventbrite.com/e/beach-winter-wonderland-free-event-registration-28768394041?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25949267%2F5730083764%2F1%2Foriginal.jpg?rect=0%2C0%2C500%2C250&s=a99da8096be0773d13f86e8b7af39a49
Holiday Ice Rink Pershing Square presented by Bai,Los Angeles	 CA 90013,https://www.eventbrite.com/e/holiday-ice-rink-pershing-square-presented-by-bai-tickets-28429709025?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25270606%2F181755422853%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=a68856b5565551cf63dad16f016711f7
Bare Noize @ Union NightClub,4067 West Pico Boulevard	Los Angeles	 CA 90019,https://www.eventbrite.com/e/bare-noize-union-nightclub-tickets-27331767051?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F23595969%2F76766795141%2F1%2Foriginal.jpg?rect=110%2C0%2C630%2C315&s=5aa055e2e5a18a71e812b234e1618d9b
Destroy LA w/ Skellism & Maxxus,1735 Vine St	Los Angeles	 CA 90028,https://www.eventbrite.com/e/destroy-la-w-skellism-maxxus-tickets-26015850108?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F21797699%2F76766795141%2F1%2Foriginal.jpg?rect=0%2C116%2C514%2C257&s=1de05648e5c3ad5882448aae4b770015
Landside Access Modernization Program (LAMP) Business Opportunities Forum,6101 West Century Boulevard	Los Angeles	 CA 90045,https://www.eventbrite.com/e/landside-access-modernization-program-lamp-business-opportunities-forum-tickets-29591844002?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26270632%2F164000964566%2F1%2Foriginal.jpg?rect=5%2C0%2C1198%2C599&s=a860a32bbeda671f8e33a764c1c67802
Pre New Years @ Avalon,1735 Vine Street	Los Angeles	 CA 90028,https://www.eventbrite.com/e/pre-new-years-avalon-tickets-26570546219?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F22516360%2F76766795141%2F1%2Foriginal.jpg?rect=0%2C164%2C514%2C257&s=24ec40665b6f772f490098cd79dfab01
Fourth-Annual Anniversary Mass & Christmas Tree Lighting,844 W 32nd St	Los Angeles	 CA 90007,https://www.eventbrite.com/e/fourth-annual-anniversary-mass-christmas-tree-lighting-tickets-29174986169?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25655345%2F123940014255%2F1%2Foriginal.jpg?rect=0%2C41%2C5472%2C2736&s=4e6433127b2e811fbd22f334c092a035
Dimitri's Birthday Party!!!,123 Main St.	Suite 2	Los Angeles	 CA 90024,https://www.eventbrite.com/e/dimitris-birthday-party-tickets-12682470611?aff=ebapi,https://cdn.evbuc.com/images/8101081/40182321/1/original.png
LA County 2017 Career Fair.  Meet with Hiring Employers.,6101 West Century Blvd.	Los Angeles	 CA 90045,https://www.eventbrite.com/e/la-county-2017-career-fair-meet-with-hiring-employers-tickets-15084094934?aff=ebapi,https://cdn.evbuc.com/images/25225104/109033103239/1/original.jpg
The Yoga Expo 2016 Los Angeles,1201 South Figueroa Street	Los Angeles	 CA 90015,https://www.eventbrite.com/e/the-yoga-expo-2016-los-angeles-tickets-20462753647?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F20803977%2F145130561970%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=ecec83d056e1bea3a8fde52f6f83001a
First-ever Vainglory World Championship (Hollywood	 CA),6925 Hollywood Boulevard	Hollywood	 CA 90028,https://www.eventbrite.com/e/first-ever-vainglory-world-championship-hollywood-ca-tickets-28588408700?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25039049%2F167025604871%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=5f8291e8e364b41de9b6cfb4324e9140
Third Annual LA Tech Holiday Party Meetup 2016,1642 Baker St.	Los Angeles	 CA 90012,https://www.eventbrite.com/e/third-annual-la-tech-holiday-party-meetup-2016-tickets-28874226589?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25360723%2F1961717567%2F1%2Foriginal.jpg?rect=0%2C3%2C274%2C137&s=3c8c34f6f55f5a6fe39c7791ee4fce6e
Uncorked: LA,800 North Alameda Street	Los Angeles	 CA 90012,https://www.eventbrite.com/e/uncorked-la-tickets-28843824656?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25318061%2F165370344593%2F1%2Foriginal.jpg?rect=0%2C85%2C1022%2C511&s=bf7d04bd830a2e98a9c691021b6169c9
Culver City Film Festival,9500 Culver Boulevard/4130 Overland Ave	Culver City	 CA 90232,https://www.eventbrite.com/e/culver-city-film-festival-tickets-29368296365?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25880228%2F162114538375%2F1%2Foriginal.jpg?rect=7%2C0%2C310%2C155&s=80192bc9ea2ab4600200405b24fcb79d
'How to run a successful VR studio	' featuring VR Playhouse,1015 North Cahuenga Boulevard	Los Angeles	 CA 90038,https://www.eventbrite.com/e/how-to-run-a-successful-vr-studio-featuring-vr-playhouse-tickets-29654158386?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26174594%2F145855684544%2F1%2Foriginal.jpg?rect=0%2C0%2C2160%2C1080&s=83a65663e37d11d1ede6302819d7af84
doTERRA Leadership Retreat Long Beach	 CA  2017,300 East Ocean Blvd.	Long Beach	 CA 90802,https://www.eventbrite.com/e/doterra-leadership-retreat-long-beach-ca-2017-tickets-28568777984?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25008907%2F60413336681%2F1%2Foriginal.jpg?rect=0%2C40%2C1280%2C640&s=77abdbffb0472a8be4f95aaa3b532370
We Love Kandy Tour,4067 West Pico Boulevard	Los Angeles	 CA 90019,https://www.eventbrite.com/e/we-love-kandy-tour-tickets-27672384848?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F24067532%2F186591320827%2F1%2Foriginal.jpg?rect=0%2C383%2C1274%2C637&s=209562ffa97daad655298ed9b5898961
City of Hope - Volunteer Rose Float Decorating,700 Seco St.	Pasadena	 CA 91103,https://www.eventbrite.com/e/city-of-hope-volunteer-rose-float-decorating-tickets-29024975483?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25507185%2F124784649603%2F1%2Foriginal.jpg?rect=12%2C43%2C480%2C240&s=bbaac5eeebc84859010d176a80db169e
Tech in Motion's End of Year Celebration {LA},395 Santa Monica Boulevard	#308	Santa Monica	 CA 90401,https://www.eventbrite.com/e/tech-in-motions-end-of-year-celebration-la-tickets-27333547376?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25504457%2F137897333334%2F1%2Foriginal.jpg?rect=1%2C0%2C1600%2C800&s=b1375686d9021aa5310bb592fb6e6e2a
Victoria's Secret Fashion Show Viewing Party,110 East 6th Street	Los Angeles	 CA 90014,https://www.eventbrite.com/e/victorias-secret-fashion-show-viewing-party-tickets-29453189282?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25982590%2F16007047439%2F1%2Foriginal.jpg?rect=0%2C139%2C958%2C479&s=135ceaee87d283effd9cde85eadf418a
Sandpipers Holiday Homes Tour 2016,920 Highland Avenue	Manhattan Beach	 CA 90266,https://www.eventbrite.com/e/sandpipers-holiday-homes-tour-2016-tickets-28671714871?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25407800%2F43828208808%2F1%2Foriginal.jpg?rect=0%2C136%2C1620%2C810&s=bc1a105adb6eeb0f4346af560d86f684
WIN-Networking Pasadena OPEN Monthly Luncheon Meeting,180 North Fair Oaks Avenue	Pasadena	 CA 91103,https://www.eventbrite.com/e/win-networking-pasadena-open-monthly-luncheon-meeting-tickets-12986411707?aff=ebapi,https://cdn.evbuc.com/images/7958411/2873714166/1/original.png
Winterfresh Music Festival 2016,4067 West Pico Boulevard	Los Angeles	 CA 90019,https://www.eventbrite.com/e/winterfresh-music-festival-2016-tickets-27515576831?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F23859120%2F86885330527%2F1%2Foriginal.jpg?rect=0%2C183%2C1080%2C540&s=554a0cc0c9eeba118563008c42de34e3
MPAC Convention: Building Bridges	 Breaking Barriers,300 East Ocean Blvd.	Long Beach	 CA 90802,https://www.eventbrite.com/e/mpac-convention-building-bridges-breaking-barriers-registration-28540515450?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F25473958%2F4670696603%2F1%2Foriginal.jpg?rect=0%2C0%2C4500%2C2250&s=03e776639bfa9c66c985ab7b62b002fb
LA Fashion Corner Holiday Fashion Show w/Toy Drive,6523 Sunset Boulevard	Los Angeles	 CA 90028,https://www.eventbrite.com/e/la-fashion-corner-holiday-fashion-show-wtoy-drive-tickets-29863404246?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26371200%2F161598686513%2F1%2Foriginal.jpg?rect=0%2C103%2C1046%2C523&s=58dab98c9384fb214783a0eb3165f911
Turn Your Campus 2017,13800 Biola Ave	La Mirada	 CA 90638,https://www.eventbrite.com/e/turn-your-campus-2017-tickets-27675569373?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F24073242%2F34086975175%2F1%2Foriginal.jpg?rect=0%2C0%2C720%2C360&s=dfa22f5fc275fafb10f86ebf97f20bcc
Interrogation,6712 Hollywood Boulevard	Los Angeles	 CA 90028,https://www.eventbrite.com/e/interrogation-tickets-29596158908?aff=ebapi,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F26114020%2F103711196855%2F1%2Foriginal.jpg?rect=0%2C29%2C930%2C465&s=a5e4ceaec09a8a47d3109e2b8ced0b2d
